Time (UTC),Latitude,Longitude,Altitude (km)
2025-07-16T06:15:05Z,53.04635996718228,-136.2799904811899,-6348.678002975131
2025-07-16T06:25:05Z,41.63919038357545,-84.34183842894781,-6288.147136404184
2025-07-16T06:35:05Z,14.570603345976679,-56.4101616006327,-6269.228690584398
2025-07-16T06:45:05Z,-15.512928155427051,-35.7555273716922,-6273.402120567557
2025-07-16T06:55:05Z,-42.2949637689725,-7.395615076844657,-6302.225396956328
2025-07-16T07:05:05Z,-52.95242651520431,44.939215320704776,nan
2025-07-16T07:15:05Z,-36.40008044987486,91.18246577218788,nan
2025-07-16T07:25:05Z,-8.069940677110338,116.02270692450763,nan
2025-07-16T07:35:05Z,21.88063901012457,137.05255982799426,nan
2025-07-16T07:45:05Z,46.75798412866419,169.7190275470852,nan
2025-07-16T07:55:05Z,51.26337449412138,-134.31097185166433,-6311.945181602226
2025-07-16T08:05:05Z,30.44087115982924,-94.11601865370254,-6277.113967500729
2025-07-16T08:15:05Z,1.1500403515517719,-71.44018677433672,-6268.743456458942
2025-07-16T08:25:05Z,-28.327221255863616,-49.34025221709241,-6283.036040870194
2025-07-16T08:35:05Z,-50.30099861655218,-11.372797847145163,-6328.488421036125
2025-07-16T08:45:05Z,-48.21966246850112,44.968754022843726,nan
2025-07-16T08:55:05Z,-24.374641109138572,79.45901540388225,nan
2025-07-16T09:05:05Z,5.422345953016249,100.8011809989144,nan
2025-07-16T09:15:05Z,34.20036111819938,124.74328763635029,nan
2025-07-16T09:25:05Z,52.50981884703272,168.8386330823944,nan
2025-07-16T09:35:05Z,43.9860602026433,-137.09831578768274,-6292.6899280932985
